year,H. population,Visitors,Hurricanes,Fisheries,Coral.cover,CHL_a,SST,POC,PIC,PAR,ANP,C.atrilobata,S.verres,T.grammaticum,P.azaleus,H. chierchiae,H. passer
1,164162,2744,0,189763,17.4,-0.402994592,-0.788352839,-0.332789177,-0.406405673,0.288620152,Cabo Pulmo,23.60934183,2.802547771,5.732484076,0.00001,0.08492569,5.138004246
2,183965.58,3189,-0.081389041,379419,19.6,0.199045364,0.186974316,0.518874373,0.38664343,-0.092976296,Cabo Pulmo,23.84996461,2.547770701,0.990799717,3.821656051,0.920028309,5.16631281
3,194918.26,3634,-0.476293037,217822,18.3,1.006904236,-1.014802041,0.810419748,0.240148181,0.061519277,Cabo Pulmo,62.87685775,1.762208068,0.477707006,0.106157113,0.488322718,2.282377919
4,205870.94,2412,-1.087826969,256189,21.1,0.493601682,-0.409025384,0.642382207,0.091441233,0.296698416,Cabo Pulmo,38.33099305,1.101573055,1.997804478,0.265392781,2.094721096,0.748238757
5,216823.62,4232,-0.965467265,335493,18.5,0.156454022,0.230893622,0.010827839,-0.318080196,-0.129695009,Cabo Pulmo,0.00001,0.786458333,0.46875,1.192708333,0.328125,2.307291667
6,238487,9089,0,206997,17.2,-0.207190088,-0.371004063,-0.065550332,-0.276016834,0.678167202,Cabo Pulmo,37.40699405,1.532142857,0.62827381,6.333035714,0.895089286,1.666666667
7,238728.98,9730,0,358752,16.9,0.403418314,-0.11064917,0.316303314,0.274184114,0.430784112,Cabo Pulmo,35.49603174,1.753968254,1.158730159,4.297619047,1.119047619,1.876984127
8,249681.66,8932,-0.656081322,450164,17.9,0.671116677,-0.035470486,0.573621517,1.036726101,-0.03055723,Cabo Pulmo,61.32638889,0.243055556,2.409722222,4.576388889,1.364583333,1.715277778
9,260634.34,7297,0,300018,15.6,0.147133878,-0.507589724,0.154727093,0.331341419,-0.138573349,Cabo Pulmo,0.00001,0.00001,0.00001,7.12962963,0.00001,0.00001
10,271587.02,10500,0.105637199,302454,16.8,-0.595442008,1.009879805,-0.786815397,-0.553642188,-0.03530451,Cabo Pulmo,40.1625,5.428125,1.21875,2.015625,0.784375,1.946875
11,287671,11041,-0.924680698,394516,15.7,-0.49660789,1.154997571,-0.633461831,-0.396380849,-1.27659612,Cabo Pulmo,59.44444444,6.333333332,3.555555556,4.888888889,5,3.777777778
12,293492.38,12881,-1.551158323,365392,19.9,-0.854815643,0.797584351,-0.932626196,-0.340461863,-0.153869905,Cabo Pulmo,16.80952381,1.190476191,2.035714286,1.202380952,0.535714286,0.892857143
13,304445.06,17167,-0.602139425,414115,21.9,0.153814198,0.176791084,-0.073005066,0.413176829,0.431573158,Cabo Pulmo,54.38039215,2.243137255,2.440196078,2.743137255,0.326470588,1.466666667
